module,num_params,num_bytes,num_flops
model.embed_tokens,163840000,327680000,1
model.layers.0.self_attn.q_proj,26214400,52428800,52428800
model.layers.0.self_attn.k_proj,26214400,52428800,52428800
model.layers.0.self_attn.v_proj,26214400,52428800,52428800
model.layers.0.self_attn.o_proj,26214400,52428800,52428800
model.layers.0.self_attn.rotary_emb,0,0,0
model.layers.0.mlp.gate_proj,70778880,141557760,141557760
model.layers.0.mlp.up_proj,70778880,141557760,141557760
model.layers.0.mlp.down_proj,70778880,141557760,141557760
model.layers.0.mlp.act_fn,0,0,30720
model.layers.0.input_layernorm,5120,10240,20480
model.layers.0.post_attention_layernorm,5120,10240,20480
model.layers.1.self_attn.q_proj,26214400,52428800,52428800
model.layers.1.self_attn.k_proj,26214400,52428800,52428800
model.layers.1.self_attn.v_proj,26214400,52428800,52428800
model.layers.1.self_attn.o_proj,26214400,52428800,52428800
model.layers.1.self_attn.rotary_emb,0,0,0
model.layers.1.mlp.gate_proj,70778880,141557760,141557760
model.layers.1.mlp.up_proj,70778880,141557760,141557760
model.layers.1.mlp.down_proj,70778880,141557760,141557760
model.layers.1.mlp.act_fn,0,0,30720
model.layers.1.input_layernorm,5120,10240,20480
model.layers.1.post_attention_layernorm,5120,10240,20480
model.layers.2.self_attn.q_proj,26214400,52428800,52428800
model.layers.2.self_attn.k_proj,26214400,52428800,52428800
model.layers.2.self_attn.v_proj,26214400,52428800,52428800
model.layers.2.self_attn.o_proj,26214400,52428800,52428800
model.layers.2.self_attn.rotary_emb,0,0,0
model.layers.2.mlp.gate_proj,70778880,141557760,141557760
model.layers.2.mlp.up_proj,70778880,141557760,141557760
model.layers.2.mlp.down_proj,70778880,141557760,141557760
model.layers.2.mlp.act_fn,0,0,30720
model.layers.2.input_layernorm,5120,10240,20480
model.layers.2.post_attention_layernorm,5120,10240,20480
model.layers.3.self_attn.q_proj,26214400,52428800,52428800
model.layers.3.self_attn.k_proj,26214400,52428800,52428800
model.layers.3.self_attn.v_proj,26214400,52428800,52428800
model.layers.3.self_attn.o_proj,26214400,52428800,52428800
model.layers.3.self_attn.rotary_emb,0,0,0
model.layers.3.mlp.gate_proj,70778880,141557760,141557760
model.layers.3.mlp.up_proj,70778880,141557760,141557760
model.layers.3.mlp.down_proj,70778880,141557760,141557760
model.layers.3.mlp.act_fn,0,0,30720
model.layers.3.input_layernorm,5120,10240,20480
model.layers.3.post_attention_layernorm,5120,10240,20480
model.layers.4.self_attn.q_proj,26214400,52428800,52428800
model.layers.4.self_attn.k_proj,26214400,52428800,52428800
model.layers.4.self_attn.v_proj,26214400,52428800,52428800
model.layers.4.self_attn.o_proj,26214400,52428800,52428800
model.layers.4.self_attn.rotary_emb,0,0,0
model.layers.4.mlp.gate_proj,70778880,141557760,141557760
model.layers.4.mlp.up_proj,70778880,141557760,141557760
model.layers.4.mlp.down_proj,70778880,141557760,141557760
model.layers.4.mlp.act_fn,0,0,30720
model.layers.4.input_layernorm,5120,10240,20480
model.layers.4.post_attention_layernorm,5120,10240,20480
model.layers.5.self_attn.q_proj,26214400,52428800,52428800
model.layers.5.self_attn.k_proj,26214400,52428800,52428800
