module,num_params,num_bytes,num_flops
model.embed_tokens,131072000,262144000,1
model.layers.0.self_attn.q_proj,16777216,33554432,33554432
model.layers.0.self_attn.k_proj,16777216,33554432,33554432
model.layers.0.self_attn.v_proj,16777216,33554432,33554432
model.layers.0.self_attn.o_proj,16777216,33554432,33554432
model.layers.0.self_attn.rotary_emb,0,0,0
model.layers.0.mlp.gate_proj,45088768,90177536,90177536
model.layers.0.mlp.up_proj,45088768,90177536,90177536
model.layers.0.mlp.down_proj,45088768,90177536,90177536
model.layers.0.mlp.act_fn,0,0,24576
model.layers.0.input_layernorm,4096,8192,16384
model.layers.0.post_attention_layernorm,4096,8192,16384
model.layers.1.self_attn.q_proj,16777216,33554432,33554432
model.layers.1.self_attn.k_proj,16777216,33554432,33554432
model.layers.1.self_attn.v_proj,16777216,33554432,33554432
model.layers.1.self_attn.o_proj,16777216,33554432,33554432
model.layers.1.self_attn.rotary_emb,0,0,0
model.layers.1.mlp.gate_proj,45088768,90177536,90177536
model.layers.1.mlp.up_proj,45088768,90177536,90177536
model.layers.1.mlp.down_proj,45088768,90177536,90177536
model.layers.1.mlp.act_fn,0,0,24576
model.layers.1.input_layernorm,4096,8192,16384
model.layers.1.post_attention_layernorm,4096,8192,16384
model.layers.2.self_attn.q_proj,16777216,33554432,33554432
model.layers.2.self_attn.k_proj,16777216,33554432,33554432
model.layers.2.self_attn.v_proj,16777216,33554432,33554432
model.layers.2.self_attn.o_proj,16777216,33554432,33554432
model.layers.2.self_attn.rotary_emb,0,0,0
model.layers.2.mlp.gate_proj,45088768,90177536,90177536
model.layers.2.mlp.up_proj,45088768,90177536,90177536
model.layers.2.mlp.down_proj,45088768,90177536,90177536
model.layers.2.mlp.act_fn,0,0,24576
model.layers.2.input_layernorm,4096,8192,16384
model.layers.2.post_attention_layernorm,4096,8192,16384
model.layers.3.self_attn.q_proj,16777216,33554432,33554432
model.layers.3.self_attn.k_proj,16777216,33554432,33554432
model.layers.3.self_attn.v_proj,16777216,33554432,33554432
model.layers.3.self_attn.o_proj,16777216,33554432,33554432
model.layers.3.self_attn.rotary_emb,0,0,0
model.layers.3.mlp.gate_proj,45088768,90177536,90177536
model.layers.3.mlp.up_proj,45088768,90177536,90177536
