module,num_params,num_bytes,num_flops
model.embed_tokens,98500608,197001216,1
model.embed_dropout,0,0,0
model.layers.0.self_attn.o_proj,9437184,18874368,18874368
model.layers.0.self_attn.qkv_proj,28311552,56623104,56623104
model.layers.0.self_attn.rotary_emb,0,0,0
model.layers.0.mlp.gate_up_proj,50331648,100663296,100663296
model.layers.0.mlp.down_proj,25165824,50331648,50331648
model.layers.0.mlp.activation_fn,0,0,18432
model.layers.0.input_layernorm,3072,6144,12288
model.layers.0.resid_attn_dropout,0,0,0
model.layers.0.resid_mlp_dropout,0,0,0
model.layers.0.post_attention_layernorm,3072,6144,12288
model.layers.1.self_attn.o_proj,9437184,18874368,18874368
model.layers.1.self_attn.qkv_proj,28311552,56623104,56623104
model.layers.1.self_attn.rotary_emb,0,0,0
model.layers.1.mlp.gate_up_proj,50331648,100663296,100663296
model.layers.1.mlp.down_proj,25165824,50331648,50331648
model.layers.1.mlp.activation_fn,0,0,18432
model.layers.1.input_layernorm,3072,6144,12288
model.layers.1.resid_attn_dropout,0,0,0
model.layers.1.resid_mlp_dropout,0,0,0
model.layers.1.post_attention_layernorm,3072,6144,12288
model.layers.2.self_attn.o_proj,9437184,18874368,18874368
model.layers.2.self_attn.qkv_proj,28311552,56623104,56623104
model.layers.2.self_attn.rotary_emb,0,0,0
model.layers.2.mlp.gate_up_proj,50331648,100663296,100663296
model.layers.2.mlp.down_proj,25165824,50331648,50331648
model.layers.2.mlp.activation_fn,0,0,18432
model.layers.2.input_layernorm,3072,6144,12288
model.layers.2.resid_attn_dropout,0,0,0
model.layers.2.resid_mlp_dropout,0,0,0
model.layers.2.post_attention_layernorm,3072,6144,12288
model.layers.3.self_attn.o_proj,9437184,18874368,18874368
model.layers.3.self_attn.qkv_proj,28311552,56623104,56623104
model.layers.3.self_attn.rotary_emb,0,0,0
model.layers.3.mlp.gate_up_proj,50331648,100663296,100663296
model.layers.3.mlp.down_proj,25165824,50331648,50331648
model.layers.3.mlp.activation_fn,0,0,18432
model.layers.3.input_layernorm,3072,6144,12288
model.layers.3.resid_attn_dropout,0,0,0
model.layers.3.resid_mlp_dropout,0,0,0
model.layers.3.post_attention_layernorm,3072,6144,12288
model.layers.4.self_attn.o_proj,9437184,18874368,18874368
model.layers.4.self_attn.qkv_proj,28311552,56623104,56623104
model.layers.4.self_attn.rotary_emb,0,0,0
model.layers.4.mlp.gate_up_proj,50331648,100663296,100663296
model.layers.4.mlp.down_proj,25165824,50331648,50331648
model.layers.4.mlp.activation_fn,0,0,18432
model.layers.4.input_layernorm,3072,6144,12288
model.layers.4.resid_attn_dropout,0,0,0
model.layers.4.resid_mlp_dropout,0,0,0
model.layers.4.post_attention_layernorm,3072,6144,12288
model.layers.5.self_attn.o_proj,9437184,18874368,18874368
model.layers.5.self_attn.qkv_proj,28311552,56623104,56623104
model.layers.5.self_attn.rotary_emb,0,0,0
model.layers.5.mlp.gate_up_proj,50331648,100663296,100663296
model.layers.5.mlp.down_proj,25165824,50331648,50331648
model.layers.5.mlp.activation_fn,0,0,18432
model.layers.5.input_layernorm,3072,6144,12288
model.layers.5.resid_attn_dropout,0,0,0
model.layers.5.resid_mlp_dropout,0,0,0
model.layers.5.post_attention_layernorm,3072,6144,12288
model.layers.6.self_attn.o_proj,9437184,18874368,18874368
model.layers.6.self_attn.qkv_proj,28311552,56623104,56623104
model.layers.6.self_attn.rotary_emb,0,0,0
model.layers.6.mlp.gate_up_proj,50331648,100663296,100663296
model.layers.6.mlp.down_proj,25165824,50331648,50331648
model.layers.6.mlp.activation_fn,0,0,18432
model.layers.6.input_layernorm,3072,6144,12288
model.layers.6.resid_attn_dropout,0,0,0
model.layers.6.resid_mlp_dropout,0,0,0
model.layers.6.post_attention_layernorm,3072,6144,12288
model.layers.7.self_attn.o_proj,9437184,18874368,18874368
model.layers.7.self_attn.qkv_proj,28311552,56623104,56623104
model.layers.7.self_attn.rotary_emb,0,0,0
model.layers.7.mlp.gate_up_proj,50331648,100663296,100663296
model.layers.7.mlp.down_proj,25165824,50331648,50331648
model.layers.7.mlp.activation_fn,0,0,18432
model.layers.7.input_layernorm,3072,6144,12288
model.layers.7.resid_attn_dropout,0,0,0
model.layers.7.resid_mlp_dropout,0,0,0
model.layers.7.post_attention_layernorm,3072,6144,12288
model.layers.8.self_attn.o_proj,9437184,18874368,18874368
model.layers.8.self_attn.qkv_proj,28311552,56623104,56623104
model.layers.8.self_attn.rotary_emb,0,0,0
model.layers.8.mlp.gate_up_proj,50331648,100663296,100663296
model.layers.8.mlp.down_proj,25165824,50331648,50331648
