module,num_params,num_bytes,num_flops
model.layers.8.mlp.activation_fn,0,0,18432
model.layers.8.input_layernorm,3072,6144,12288
model.layers.8.resid_attn_dropout,0,0,0
model.layers.8.resid_mlp_dropout,0,0,0
model.layers.8.post_attention_layernorm,3072,6144,12288
model.layers.9.self_attn.o_proj,9437184,18874368,18874368
model.layers.9.self_attn.qkv_proj,28311552,56623104,56623104
model.layers.9.self_attn.rotary_emb,0,0,0
model.layers.9.mlp.gate_up_proj,50331648,100663296,100663296
model.layers.9.mlp.down_proj,25165824,50331648,50331648
model.layers.9.mlp.activation_fn,0,0,18432
model.layers.9.input_layernorm,3072,6144,12288
model.layers.9.resid_attn_dropout,0,0,0
model.layers.9.resid_mlp_dropout,0,0,0
model.layers.9.post_attention_layernorm,3072,6144,12288
model.layers.10.self_attn.o_proj,9437184,18874368,18874368
model.layers.10.self_attn.qkv_proj,28311552,56623104,56623104
model.layers.10.self_attn.rotary_emb,0,0,0
model.layers.10.mlp.gate_up_proj,50331648,100663296,100663296
model.layers.10.mlp.down_proj,25165824,50331648,50331648
model.layers.10.mlp.activation_fn,0,0,18432
model.layers.10.input_layernorm,3072,6144,12288
model.layers.10.resid_attn_dropout,0,0,0
model.layers.10.resid_mlp_dropout,0,0,0
model.layers.10.post_attention_layernorm,3072,6144,12288
model.layers.11.self_attn.o_proj,9437184,18874368,18874368
model.layers.11.self_attn.qkv_proj,28311552,56623104,56623104
model.layers.11.self_attn.rotary_emb,0,0,0
model.layers.11.mlp.gate_up_proj,50331648,100663296,100663296
model.layers.11.mlp.down_proj,25165824,50331648,50331648
model.layers.11.mlp.activation_fn,0,0,18432
model.layers.11.input_layernorm,3072,6144,12288
model.layers.11.resid_attn_dropout,0,0,0
model.layers.11.resid_mlp_dropout,0,0,0
model.layers.11.post_attention_layernorm,3072,6144,12288
model.layers.12.self_attn.o_proj,9437184,18874368,18874368
model.layers.12.self_attn.qkv_proj,28311552,56623104,56623104
model.layers.12.self_attn.rotary_emb,0,0,0
model.layers.12.mlp.gate_up_proj,50331648,100663296,100663296
model.layers.12.mlp.down_proj,25165824,50331648,50331648
model.layers.12.mlp.activation_fn,0,0,18432
model.layers.12.input_layernorm,3072,6144,12288
model.layers.12.resid_attn_dropout,0,0,0
model.layers.12.resid_mlp_dropout,0,0,0
model.layers.12.post_attention_layernorm,3072,6144,12288
model.layers.13.self_attn.o_proj,9437184,18874368,18874368
model.layers.13.self_attn.qkv_proj,28311552,56623104,56623104
model.layers.13.self_attn.rotary_emb,0,0,0
model.layers.13.mlp.gate_up_proj,50331648,100663296,100663296
model.layers.13.mlp.down_proj,25165824,50331648,50331648
model.layers.13.mlp.activation_fn,0,0,18432
model.layers.13.input_layernorm,3072,6144,12288
model.layers.13.resid_attn_dropout,0,0,0
model.layers.13.resid_mlp_dropout,0,0,0
model.layers.13.post_attention_layernorm,3072,6144,12288
model.layers.14.self_attn.o_proj,9437184,18874368,18874368
model.layers.14.self_attn.qkv_proj,28311552,56623104,56623104
model.layers.14.self_attn.rotary_emb,0,0,0
model.layers.14.mlp.gate_up_proj,50331648,100663296,100663296
model.layers.14.mlp.down_proj,25165824,50331648,50331648
model.layers.14.mlp.activation_fn,0,0,18432
model.layers.14.input_layernorm,3072,6144,12288
model.layers.14.resid_attn_dropout,0,0,0
model.layers.14.resid_mlp_dropout,0,0,0
model.layers.14.post_attention_layernorm,3072,6144,12288
model.layers.15.self_attn.o_proj,9437184,18874368,18874368
model.layers.15.self_attn.qkv_proj,28311552,56623104,56623104
model.layers.15.self_attn.rotary_emb,0,0,0
model.layers.15.mlp.gate_up_proj,50331648,100663296,100663296
model.layers.15.mlp.down_proj,25165824,50331648,50331648
model.layers.15.mlp.activation_fn,0,0,18432
model.layers.15.input_layernorm,3072,6144,12288
model.layers.15.resid_attn_dropout,0,0,0
model.layers.15.resid_mlp_dropout,0,0,0
model.layers.15.post_attention_layernorm,3072,6144,12288
model.layers.16.self_attn.o_proj,9437184,18874368,18874368
model.layers.16.self_attn.qkv_proj,28311552,56623104,56623104
model.layers.16.self_attn.rotary_emb,0,0,0
model.layers.16.mlp.gate_up_proj,50331648,100663296,100663296
model.layers.16.mlp.down_proj,25165824,50331648,50331648
model.layers.16.mlp.activation_fn,0,0,18432
model.layers.16.input_layernorm,3072,6144,12288
model.layers.16.resid_attn_dropout,0,0,0
model.layers.16.resid_mlp_dropout,0,0,0
model.layers.16.post_attention_layernorm,3072,6144,12288
model.layers.17.self_attn.o_proj,9437184,18874368,18874368
model.layers.17.self_attn.qkv_proj,28311552,56623104,56623104
model.layers.17.self_attn.rotary_emb,0,0,0
model.layers.17.mlp.gate_up_proj,50331648,100663296,100663296
model.layers.17.mlp.down_proj,25165824,50331648,50331648
model.layers.17.mlp.activation_fn,0,0,18432
model.layers.17.input_layernorm,3072,6144,12288
model.layers.17.resid_attn_dropout,0,0,0
model.layers.17.resid_mlp_dropout,0,0,0
model.layers.17.post_attention_layernorm,3072,6144,12288
model.layers.18.self_attn.o_proj,9437184,18874368,18874368
model.layers.18.self_attn.qkv_proj,28311552,56623104,56623104
model.layers.18.self_attn.rotary_emb,0,0,0
model.layers.18.mlp.gate_up_proj,50331648,100663296,100663296
model.layers.18.mlp.down_proj,25165824,50331648,50331648
model.layers.18.mlp.activation_fn,0,0,18432
model.layers.18.input_layernorm,3072,6144,12288
model.layers.18.resid_attn_dropout,0,0,0
model.layers.18.resid_mlp_dropout,0,0,0
model.layers.18.post_attention_layernorm,3072,6144,12288
model.layers.19.self_attn.o_proj,9437184,18874368,18874368
model.layers.19.self_attn.qkv_proj,28311552,56623104,56623104
model.layers.19.self_attn.rotary_emb,0,0,0
model.layers.19.mlp.gate_up_proj,50331648,100663296,100663296
model.layers.19.mlp.down_proj,25165824,50331648,50331648
model.layers.19.mlp.activation_fn,0,0,18432
model.layers.19.input_layernorm,3072,6144,12288
model.layers.19.resid_attn_dropout,0,0,0
model.layers.19.resid_mlp_dropout,0,0,0
model.layers.19.post_attention_layernorm,3072,6144,12288
model.layers.20.self_attn.o_proj,9437184,18874368,18874368
model.layers.20.self_attn.qkv_proj,28311552,56623104,56623104
model.layers.20.self_attn.rotary_emb,0,0,0
model.layers.20.mlp.gate_up_proj,50331648,100663296,100663296
model.layers.20.mlp.down_proj,25165824,50331648,50331648
model.layers.20.mlp.activation_fn,0,0,18432
model.layers.20.input_layernorm,3072,6144,12288
model.layers.20.resid_attn_dropout,0,0,0
model.layers.20.resid_mlp_dropout,0,0,0
model.layers.20.post_attention_layernorm,3072,6144,12288
model.layers.21.self_attn.o_proj,9437184,18874368,18874368
model.layers.21.self_attn.qkv_proj,28311552,56623104,56623104
model.layers.21.self_attn.rotary_emb,0,0,0
model.layers.21.mlp.gate_up_proj,50331648,100663296,100663296
model.layers.21.mlp.down_proj,25165824,50331648,50331648
model.layers.21.mlp.activation_fn,0,0,18432
model.layers.21.input_layernorm,3072,6144,12288
model.layers.21.resid_attn_dropout,0,0,0
model.layers.21.resid_mlp_dropout,0,0,0
model.layers.21.post_attention_layernorm,3072,6144,12288
model.layers.22.self_attn.o_proj,9437184,18874368,18874368
model.layers.22.self_attn.qkv_proj,28311552,56623104,56623104
model.layers.22.self_attn.rotary_emb,0,0,0
model.layers.22.mlp.gate_up_proj,50331648,100663296,100663296
model.layers.22.mlp.down_proj,25165824,50331648,50331648
model.layers.22.mlp.activation_fn,0,0,18432
model.layers.22.input_layernorm,3072,6144,12288
model.layers.22.resid_attn_dropout,0,0,0
model.layers.22.resid_mlp_dropout,0,0,0
model.layers.22.post_attention_layernorm,3072,6144,12288
model.layers.23.self_attn.o_proj,9437184,18874368,18874368
model.layers.23.self_attn.qkv_proj,28311552,56623104,56623104
model.layers.23.self_attn.rotary_emb,0,0,0
model.layers.23.mlp.gate_up_proj,50331648,100663296,100663296
model.layers.23.mlp.down_proj,25165824,50331648,50331648
model.layers.23.mlp.activation_fn,0,0,18432
model.layers.23.input_layernorm,3072,6144,12288
model.layers.23.resid_attn_dropout,0,0,0
model.layers.23.resid_mlp_dropout,0,0,0
model.layers.23.post_attention_layernorm,3072,6144,12288
model.layers.24.self_attn.o_proj,9437184,18874368,18874368
model.layers.24.self_attn.qkv_proj,28311552,56623104,56623104
model.layers.24.self_attn.rotary_emb,0,0,0
model.layers.24.mlp.gate_up_proj,50331648,100663296,100663296
model.layers.24.mlp.down_proj,25165824,50331648,50331648
model.layers.24.mlp.activation_fn,0,0,18432
model.layers.24.input_layernorm,3072,6144,12288
model.layers.24.resid_attn_dropout,0,0,0
model.layers.24.resid_mlp_dropout,0,0,0
model.layers.24.post_attention_layernorm,3072,6144,12288
model.layers.25.self_attn.o_proj,9437184,18874368,18874368
model.layers.25.self_attn.qkv_proj,28311552,56623104,56623104
model.layers.25.self_attn.rotary_emb,0,0,0
model.layers.25.mlp.gate_up_proj,50331648,100663296,100663296
model.layers.25.mlp.down_proj,25165824,50331648,50331648
model.layers.25.mlp.activation_fn,0,0,18432
model.layers.25.input_layernorm,3072,6144,12288
model.layers.25.resid_attn_dropout,0,0,0
model.layers.25.resid_mlp_dropout,0,0,0
model.layers.25.post_attention_layernorm,3072,6144,12288
model.layers.26.self_attn.o_proj,9437184,18874368,18874368
model.layers.26.self_attn.qkv_proj,28311552,56623104,56623104
model.layers.26.self_attn.rotary_emb,0,0,0
model.layers.26.mlp.gate_up_proj,50331648,100663296,100663296
model.layers.26.mlp.down_proj,25165824,50331648,50331648
model.layers.26.mlp.activation_fn,0,0,18432
model.layers.26.input_layernorm,3072,6144,12288
model.layers.26.resid_attn_dropout,0,0,0
model.layers.26.resid_mlp_dropout,0,0,0
model.layers.26.post_attention_layernorm,3072,6144,12288
model.layers.27.self_attn.o_proj,9437184,18874368,18874368
model.layers.27.self_attn.qkv_proj,28311552,56623104,56623104
model.layers.27.self_attn.rotary_emb,0,0,0
model.layers.27.mlp.gate_up_proj,50331648,100663296,100663296
model.layers.27.mlp.down_proj,25165824,50331648,50331648
model.layers.27.mlp.activation_fn,0,0,18432
model.layers.27.input_layernorm,3072,6144,12288
model.layers.27.resid_attn_dropout,0,0,0
model.layers.27.resid_mlp_dropout,0,0,0
model.layers.27.post_attention_layernorm,3072,6144,12288
model.layers.28.self_attn.o_proj,9437184,18874368,18874368
model.layers.28.self_attn.qkv_proj,28311552,56623104,56623104
model.layers.28.self_attn.rotary_emb,0,0,0
model.layers.28.mlp.gate_up_proj,50331648,100663296,100663296
model.layers.28.mlp.down_proj,25165824,50331648,50331648
model.layers.28.mlp.activation_fn,0,0,18432
model.layers.28.input_layernorm,3072,6144,12288
model.layers.28.resid_attn_dropout,0,0,0
model.layers.28.resid_mlp_dropout,0,0,0
model.layers.28.post_attention_layernorm,3072,6144,12288
model.layers.29.self_attn.o_proj,9437184,18874368,18874368
model.layers.29.self_attn.qkv_proj,28311552,56623104,56623104
model.layers.29.self_attn.rotary_emb,0,0,0
model.layers.29.mlp.gate_up_proj,50331648,100663296,100663296
model.layers.29.mlp.down_proj,25165824,50331648,50331648
model.layers.29.mlp.activation_fn,0,0,18432
model.layers.29.input_layernorm,3072,6144,12288
model.layers.29.resid_attn_dropout,0,0,0
model.layers.29.resid_mlp_dropout,0,0,0
model.layers.29.post_attention_layernorm,3072,6144,12288
model.layers.30.self_attn.o_proj,9437184,18874368,18874368
model.layers.30.self_attn.qkv_proj,28311552,56623104,56623104
model.layers.30.self_attn.rotary_emb,0,0,0
model.layers.30.mlp.gate_up_proj,50331648,100663296,100663296
model.layers.30.mlp.down_proj,25165824,50331648,50331648
model.layers.30.mlp.activation_fn,0,0,18432
model.layers.30.input_layernorm,3072,6144,12288
model.layers.30.resid_attn_dropout,0,0,0
model.layers.30.resid_mlp_dropout,0,0,0
model.layers.30.post_attention_layernorm,3072,6144,12288
model.layers.31.self_attn.o_proj,9437184,18874368,18874368
model.layers.31.self_attn.qkv_proj,28311552,56623104,56623104
model.layers.31.self_attn.rotary_emb,0,0,0
model.layers.31.mlp.gate_up_proj,50331648,100663296,100663296
model.layers.31.mlp.down_proj,25165824,50331648,50331648
model.layers.31.mlp.activation_fn,0,0,18432
model.layers.31.input_layernorm,3072,6144,12288
model.layers.31.resid_attn_dropout,0,0,0
model.layers.31.resid_mlp_dropout,0,0,0
model.layers.31.post_attention_layernorm,3072,6144,12288
model.norm,3072,6144,12288
lm_head,98500608,197001216,197001216
