cat	pid	tid	dur	ts	ph	name	args
Session	138	138	422837	44	X	model_loading_uri	{}
Session	138	138	753968	422894	X	session_initialization	{}
Node	138	138	4	1211104	X	MKLDNNExecutionProvider_MkldnnCustomOp1_0_fence_before	{'op_name': 'MkldnnCustomOp1'}
Node	138	138	199672	1211142	X	MKLDNNExecutionProvider_MkldnnCustomOp1_0_kernel_time	{'provider': 'MKLDNNExecutionProvider', 'op_name': 'MkldnnCustomOp1'}
Node	138	138	2	1410823	X	MKLDNNExecutionProvider_MkldnnCustomOp1_0_fence_after	{'op_name': 'MkldnnCustomOp1'}
Node	138	138	1	1410833	X	MKLDNNExecutionProvider_MkldnnCustomOp2_1_fence_before	{'op_name': 'MkldnnCustomOp2'}
Node	138	138	151851	1410837	X	MKLDNNExecutionProvider_MkldnnCustomOp2_1_kernel_time	{'provider': 'MKLDNNExecutionProvider', 'op_name': 'MkldnnCustomOp2'}
Node	138	138	3	1562700	X	MKLDNNExecutionProvider_MkldnnCustomOp2_1_fence_after	{'op_name': 'MkldnnCustomOp2'}
Node	138	138	1	1562708	X	_fence_before	{'op_name': 'Add'}
Node	138	138	640	1562716	X	_kernel_time	{'provider': 'CPUExecutionProvider', 'op_name': 'Add'}
Node	138	138	1	1563364	X	_fence_after	{'op_name': 'Add'}
Node	138	138	1	1563371	X	MKLDNNExecutionProvider_MkldnnCustomOp3_2_fence_before	{'op_name': 'MkldnnCustomOp3'}
Node	138	138	15349	1563376	X	MKLDNNExecutionProvider_MkldnnCustomOp3_2_kernel_time	{'provider': 'MKLDNNExecutionProvider', 'op_name': 'MkldnnCustomOp3'}
Node	138	138	2	1578735	X	MKLDNNExecutionProvider_MkldnnCustomOp3_2_fence_after	{'op_name': 'MkldnnCustomOp3'}
Node	138	138	1	1578742	X	MKLDNNExecutionProvider_MkldnnCustomOp4_3_fence_before	{'op_name': 'MkldnnCustomOp4'}
Node	138	138	119718	1578746	X	MKLDNNExecutionProvider_MkldnnCustomOp4_3_kernel_time	{'provider': 'MKLDNNExecutionProvider', 'op_name': 'MkldnnCustomOp4'}
Node	138	138	2	1698473	X	MKLDNNExecutionProvider_MkldnnCustomOp4_3_fence_after	{'op_name': 'MkldnnCustomOp4'}
Node	138	138	1	1698486	X	_fence_before	{'op_name': 'Add'}
